Date,Index,Current,Point Change,% Change,Turnover
2022-08-14,Sensitive Index,386.9,-4.76,-1.22,1750970000.0
2022-08-14,Float Index,138.65,-1.79,-1.27,1772360000.0
2022-08-14,Sensitive Float Index,126.98,-1.75,-1.36,1164420000.0
2022-08-13,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-08-12,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-08-11,NEPSE Index,2037.92,-18.96,-0.92,1761023038.83
2022-08-11,Sensitive Index,391.67,-4.08,-1.03,1607740000.0
2022-08-11,Float Index,140.44,-0.82,-0.58,1729830000.0
2022-08-11,Sensitive Float Index,128.73,-1.01,-0.77,1065040000.0
2022-08-10,NEPSE Index,2056.88,-5.91,-0.29,1935520146.52
2022-08-10,Sensitive Index,395.75,-1.68,-0.42,1846860000.0
2022-08-10,Float Index,141.26,-0.4,-0.29,1907420000.0
2022-08-10,Sensitive Float Index,129.73,-0.7,-0.54,1273300000.0
2022-08-09,NEPSE Index,2062.8,-43.35,-2.06,2815144598.31
2022-08-09,Sensitive Index,397.43,-8.68,-2.14,2542820000.0
2022-08-09,Float Index,141.66,-2.9,-2.0,2745980000.0
2022-08-09,Sensitive Float Index,130.43,-2.77,-2.08,1683680000.0
2022-08-08,NEPSE Index,2106.15,-17.68,-0.83,2857072961.4
2022-08-08,Sensitive Index,406.11,-3.44,-0.84,2586650000.0
2022-08-08,Float Index,144.56,-1.37,-0.94,2785590000.0
2022-08-08,Sensitive Float Index,133.2,-1.16,-0.86,1664590000.0
2022-08-07,NEPSE Index,2123.82,10.27,0.49,2673338232.35
2022-08-07,Sensitive Index,409.55,3.1,0.76,2297940000.0
2022-08-07,Float Index,145.92,0.47,0.33,2552580000.0
2022-08-07,Sensitive Float Index,134.36,1.0,0.75,1577780000.0
2022-08-06,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-08-05,NEPSE Index,2113.55,-34.61,-1.61,2626154947.8
2022-08-05,Sensitive Index,406.45,-5.8,-1.41,2295300000.0
2022-08-05,Float Index,145.45,-2.83,-1.91,2596080000.0
2022-08-05,Sensitive Float Index,133.37,-2.5,-1.84,1496520000.0
2022-08-04,NEPSE Index,2148.16,-38.61,-1.77,3768079173.0
2022-08-04,Sensitive Index,412.26,-8.23,-1.96,3350930000.0
2022-08-04,Float Index,148.28,-2.49,-1.65,3742500000.0
2022-08-04,Sensitive Float Index,135.87,-2.71,-1.96,2094750000.0
2022-08-03,NEPSE Index,2186.77,-6.71,-0.31,4029931439.75
2022-08-03,Sensitive Index,420.49,-0.64,-0.15,3583430000.0
2022-08-03,Float Index,150.77,-0.9,-0.59,4023040000.0
2022-08-03,Sensitive Float Index,138.58,-0.6,-0.43,2238790000.0
2022-08-02,NEPSE Index,2193.48,-2.76,-0.13,3293234705.72
2022-08-02,Sensitive Index,421.13,0.0,0.0,2841220000.0
2022-08-02,Float Index,151.67,-0.1,-0.07,3274000000.0
2022-08-02,Sensitive Float Index,139.17,0.13,0.1,1804240000.0
2022-08-01,NEPSE Index,2196.25,1.15,0.05,4670798756.39
2022-08-01,Sensitive Index,421.14,1.94,0.46,4399710000.0
2022-08-01,Float Index,151.77,0.0,0.0,4653150000.0
2022-08-01,Sensitive Float Index,139.04,0.14,0.1,2926700000.0
2022-07-31,NEPSE Index,2195.1,54.58,2.55,4609971271.65
2022-07-31,Sensitive Index,419.2,9.72,2.37,4327430000.0
2022-07-31,Float Index,151.77,16.1,11.87,4510370000.0
2022-07-31,Sensitive Float Index,138.89,3.84,2.85,2983990000.0
2022-07-30,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-07-29,NEPSE Index,2140.52,13.05,0.61,2191619914.28
2022-07-29,Sensitive Index,409.53,3.91,0.96,2024520000.0
2022-07-29,Float Index,147.89,0.67,0.46,2180560000.0
2022-07-29,Sensitive Float Index,135.05,0.89,0.66,1326660000.0
2022-07-28,NEPSE Index,2127.47,15.49,0.73,4976433105.02
2022-07-28,Sensitive Index,405.62,2.7,0.67,0.0
2022-07-28,Float Index,147.21,1.11,0.76,0.0
2022-07-28,Sensitive Float Index,134.16,1.0,0.75,0.0
2022-07-27,NEPSE Index,2111.99,23.83,1.14,3161455141.99
2022-07-27,Sensitive Index,402.93,4.54,1.14,2842570000.0
2022-07-27,Float Index,146.11,1.51,1.04,3152330000.0
2022-07-27,Sensitive Float Index,133.17,1.44,1.09,1741630000.0
2022-07-26,NEPSE Index,2088.16,-44.8,-2.1,3704998398.24
2022-07-26,Sensitive Index,398.39,-8.99,-2.21,3498370000.0
2022-07-26,Float Index,144.6,-3.2,-2.17,3670650000.0
2022-07-26,Sensitive Float Index,131.73,-3.32,-2.46,2194980000.0
2022-07-25,NEPSE Index,2132.96,54.45,2.62,4106818941.36
2022-07-25,Sensitive Index,407.38,9.05,2.27,3978540000.0
2022-07-25,Float Index,147.8,4.2,2.92,4074680000.0
2022-07-25,Sensitive Float Index,135.05,4.03,3.07,2570830000.0
2022-07-24,NEPSE Index,2078.51,61.05,3.03,2730937196.52
2022-07-24,Sensitive Index,398.33,12.09,3.13,2251690000.0
2022-07-24,Float Index,143.61,4.08,2.93,2709070000.0
2022-07-24,Sensitive Float Index,131.02,4.29,3.39,1577370000.0
2022-07-23,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-07-22,NEPSE Index,2017.46,-27.26,-1.33,1443432770.47
2022-07-22,Sensitive Index,386.24,-5.4,-1.38,1254880000.0
2022-07-22,Float Index,139.52,-1.89,-1.34,1440220000.0
2022-07-22,Sensitive Float Index,126.73,-1.89,-1.47,857961000.0
2022-07-21,NEPSE Index,2044.72,-5.87,-0.29,1642648586.5
2022-07-21,Sensitive Index,391.64,-0.86,-0.22,1428510000.0
2022-07-21,Float Index,141.42,-0.45,-0.32,1633080000.0
2022-07-21,Sensitive Float Index,128.63,-0.49,-0.38,1026040000.0
2022-07-20,NEPSE Index,2050.59,4.89,0.24,1731832270.04
2022-07-20,Sensitive Index,392.5,0.97,0.25,1526870000.0
2022-07-20,Float Index,141.87,0.06,0.04,1719340000.0
2022-07-20,Sensitive Float Index,129.12,0.01,0.01,1073450000.0
2022-07-19,NEPSE Index,2045.7,16.27,0.8,2299316326.28
2022-07-19,Sensitive Index,391.53,2.77,0.71,2109960000.0
2022-07-19,Float Index,141.81,1.35,0.96,2288520000.0
2022-07-19,Sensitive Float Index,129.11,1.57,1.23,1481190000.0
2022-07-18,NEPSE Index,2029.43,18.03,0.9,1312962959.61
2022-07-18,Sensitive Index,388.76,2.83,0.73,1250600000.0
2022-07-18,Float Index,140.46,1.16,0.83,1307000000.0
2022-07-18,Sensitive Float Index,127.54,1.15,0.91,875940000.0
2022-07-17,NEPSE Index,2011.4,1.94,0.1,1232488082.72
2022-07-17,Sensitive Index,385.93,0.02,0.01,1220490000.0
2022-07-17,Float Index,139.31,-0.07,-0.05,1212050000.0
2022-07-17,Sensitive Float Index,126.39,-0.09,-0.07,805107000.0
2022-07-16,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-07-15,NEPSE Index,2009.46,7.93,0.4,1456259832.87
2022-07-15,Sensitive Index,385.91,2.77,20.72,1367250000.0
2022-07-15,Float Index,139.37,1.11,0.8,1370450000.0
2022-07-15,Sensitive Float Index,126.48,1.55,1.24,865533000.0
2022-07-14,NEPSE Index,2001.53,14.71,0.74,2411834599.35
2022-07-14,Sensitive Index,383.13,1.77,0.46,2233070000.0
2022-07-14,Float Index,138.26,1.1,0.8,2308750000.0
2022-07-14,Sensitive Float Index,124.93,0.63,0.51,1626300000.0
2022-07-13,NEPSE Index,1986.82,59.54,3.09,2044443007.47
2022-07-13,Sensitive Index,381.37,12.42,3.37,1959450000.0
2022-07-13,Float Index,137.16,4.27,3.21,2003750000.0
2022-07-13,Sensitive Float Index,124.3,4.52,3.78,1381870000.0
2022-07-12,NEPSE Index,1927.28,11.68,0.61,1707752977.82
2022-07-12,Sensitive Index,368.95,2.09,0.57,1589360000.0
2022-07-12,Float Index,132.89,0.87,0.66,1693770000.0
2022-07-12,Sensitive Float Index,119.78,0.97,0.81,1078830000.0
2022-07-11,NEPSE Index,1915.61,-77.01,-3.86,2325641022.25
2022-07-11,Sensitive Index,366.86,-13.03,-3.43,2318500000.0
2022-07-11,Float Index,132.02,-5.56,-4.04,2307840000.0
2022-07-11,Sensitive Float Index,118.81,-5.09,-4.11,1566300000.0
2022-07-10,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-07-09,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-07-08,NEPSE Index,1992.62,-34.7,-1.71,1168451395.02
2022-07-08,Sensitive Index,379.88,-5.61,-1.45,1096260000.0
2022-07-08,Float Index,137.58,-2.5,-1.78,1163030000.0
2022-07-08,Sensitive Float Index,123.9,-2.28,-1.81,742503000.0
2022-07-07,NEPSE Index,2027.32,-16.6,-0.81,1806204764.98
2022-07-07,Sensitive Index,385.49,-3.42,-0.88,1697900000.0
2022-07-07,Float Index,140.08,-1.18,-0.84,1730170000.0
2022-07-07,Sensitive Float Index,126.18,-1.21,-0.95,1115930000.0
2022-07-06,NEPSE Index,2043.92,13.33,0.66,2178655700.71
2022-07-06,Sensitive Index,388.91,1.68,0.43,2213100000.0
2022-07-06,Float Index,141.27,0.94,0.67,2162340000.0
2022-07-06,Sensitive Float Index,127.39,0.72,0.57,1437310000.0
2022-07-05,NEPSE Index,2030.59,-46.08,-2.22,2968485223.95
2022-07-05,Sensitive Index,387.23,-8.71,-2.2,2438470000.0
2022-07-05,Float Index,140.32,-3.16,-2.2,2581650000.0
2022-07-05,Sensitive Float Index,126.67,-3.25,-2.5,1546210000.0
2022-07-04,NEPSE Index,2076.67,-9.75,-0.47,4349273593.2
2022-07-04,Sensitive Index,395.94,-2.89,-0.72,0.0
2022-07-04,Float Index,143.49,-0.47,-0.33,0.0
2022-07-04,Sensitive Float Index,129.92,-0.77,-0.59,0.0
2022-07-03,NEPSE Index,2086.42,57.65,2.84,2480473998.9
2022-07-03,Sensitive Index,398.82,10.21,2.63,2291090000.0
2022-07-03,Float Index,143.95,3.73,2.66,2424900000.0
2022-07-03,Sensitive Float Index,130.69,3.08,2.42,1566770000.0
2022-07-02,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-07-01,NEPSE Index,2028.77,-8.87,-0.44,1459312015.14
2022-07-01,Sensitive Index,388.62,-3.17,-0.81,1401140000.0
2022-07-01,Float Index,140.23,-0.24,-0.17,1454730000.0
2022-07-01,Sensitive Float Index,127.6,-0.2,-0.15,963930000.0
2022-06-30,NEPSE Index,2037.64,74.93,3.82,2458619494.89
2022-06-30,Sensitive Index,391.78,12.63,3.33,0.0
2022-06-30,Float Index,140.46,5.22,3.86,0.0
2022-06-30,Sensitive Float Index,127.8,4.71,3.83,0.0
2022-06-29,NEPSE Index,1962.71,41.39,2.15,1431400640.64
2022-06-29,Sensitive Index,379.15,6.55,1.76,0.0
2022-06-29,Float Index,135.25,2.87,2.17,0.0
2022-06-29,Sensitive Float Index,123.1,2.67,2.21,0.0
2022-06-28,NEPSE Index,1921.31,-11.82,-0.61,1058263522.26
2022-06-28,Sensitive Index,372.6,-3.22,-0.86,0.0
2022-06-28,Float Index,132.37,-0.75,-0.56,0.0
2022-06-28,Sensitive Float Index,120.43,-1.01,-0.83,0.0
2022-06-27,NEPSE Index,1933.13,-23.85,-1.22,2044831947.7
2022-06-27,Sensitive Index,375.82,-7.02,-1.83,2085870000.0
2022-06-27,Float Index,133.13,-1.92,-1.42,2009100000.0
2022-06-27,Sensitive Float Index,121.44,-2.64,-2.12,1430020000.0
2022-06-26,NEPSE Index,1956.98,94.92,5.1,2196141848.83
2022-06-26,Sensitive Index,382.84,17.93,4.91,0.0
2022-06-26,Float Index,135.04,6.65,5.18,0.0
2022-06-26,Sensitive Float Index,124.07,6.66,5.67,0.0
2022-06-25,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-06-24,NEPSE Index,1862.06,13.78,0.75,1151208031.19
2022-06-24,Sensitive Index,364.9,2.81,0.78,0.0
2022-06-24,Float Index,128.39,1.18,0.92,0.0
2022-06-24,Sensitive Float Index,117.41,1.38,1.19,0.0
2022-06-23,NEPSE Index,1848.28,-45.25,-2.39,1499709634.92
2022-06-23,Sensitive Index,362.09,-7.06,-1.91,0.0
2022-06-23,Float Index,127.21,-3.31,-2.54,0.0
2022-06-23,Sensitive Float Index,116.03,-2.86,-2.4,0.0
2022-06-22,NEPSE Index,1893.53,-31.21,-1.62,843773459.02
2022-06-22,Sensitive Index,369.15,-5.94,-1.58,0.0
2022-06-22,Float Index,130.52,-2.25,-1.69,0.0
2022-06-22,Sensitive Float Index,118.89,-2.2,-1.81,0.0
2022-06-21,NEPSE Index,1924.74,39.93,2.12,1253757714.92
2022-06-21,Sensitive Index,375.09,8.9,2.43,0.0
2022-06-21,Float Index,132.77,2.68,2.06,0.0
2022-06-21,Sensitive Float Index,121.08,2.92,2.47,0.0
2022-06-20,NEPSE Index,1884.81,-49.31,-2.55,1750600171.41
2022-06-20,Sensitive Index,366.19,-7.66,-2.05,1594230000.0
2022-06-20,Float Index,130.09,-3.28,-2.46,1615770000.0
2022-06-20,Sensitive Float Index,118.16,-2.48,-2.06,1149340000.0
2022-06-19,NEPSE Index,1934.11,-37.27,-1.89,1134091212.35
2022-06-19,Sensitive Index,373.85,-7.29,-1.91,1097840000.0
2022-06-19,Float Index,133.37,-2.58,-1.9,1123670000.0
2022-06-19,Sensitive Float Index,120.65,-2.52,-2.04,822742000.0
2022-06-18,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-06-17,NEPSE Index,1971.38,-7.56,-0.38,736312157.98
2022-06-17,Sensitive Index,381.14,-0.69,-0.18,698074000.0
2022-06-17,Float Index,135.95,-0.53,-0.39,719059000.0
2022-06-17,Sensitive Float Index,123.16,-0.37,-0.3,579850000.0
2022-06-16,NEPSE Index,1978.94,12.57,0.64,1187145518.65
2022-06-16,Sensitive Index,381.83,2.93,0.77,1110420000.0
2022-06-16,Float Index,136.49,0.86,0.63,1151760000.0
2022-06-16,Sensitive Float Index,123.54,0.85,0.69,864080000.0
2022-06-15,NEPSE Index,1966.37,-29.89,-1.5,1491758817.38
2022-06-15,Sensitive Index,378.9,-4.6,-1.2,1451450000.0
2022-06-15,Float Index,135.63,-2.16,-1.57,1466760000.0
2022-06-15,Sensitive Float Index,122.69,-1.77,-1.43,1083860000.0
2022-06-14,NEPSE Index,1996.26,-36.07,-1.78,1185546179.44
2022-06-14,Sensitive Index,383.51,-6.48,-1.66,987415000.0
2022-06-14,Float Index,137.79,-2.29,-1.63,1157840000.0
2022-06-14,Sensitive Float Index,124.46,-1.8,-1.43,712108000.0
2022-06-13,NEPSE Index,2032.34,-15.82,-0.77,998674262.44
2022-06-13,Sensitive Index,389.98,-2.27,-0.58,905983000.0
2022-06-13,Float Index,140.07,-1.14,-0.81,991352000.0
2022-06-13,Sensitive Float Index,126.26,-0.85,-0.67,710588000.0
2022-06-12,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-06-11,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-06-10,NEPSE Index,2048.16,-14.64,-0.71,894124114.1
2022-06-10,Sensitive Index,392.25,-4.11,-1.04,837089000.0
2022-06-10,Float Index,141.22,-0.84,-0.59,870804000.0
2022-06-10,Sensitive Float Index,127.11,-1.22,-0.95,609895000.0
2022-06-09,NEPSE Index,2062.81,-17.64,-0.85,1472690554.24
2022-06-09,Sensitive Index,396.36,-4.01,-1.0,1444830000.0
2022-06-09,Float Index,142.06,-1.06,-0.74,1453360000.0
2022-06-09,Sensitive Float Index,128.33,-1.07,-0.83,1019960000.0
2022-06-08,NEPSE Index,2080.45,60.22,2.98,1640356608.04
2022-06-08,Sensitive Index,400.37,11.25,2.89,1570800000.0
2022-06-08,Float Index,143.12,4.15,2.99,1560890000.0
2022-06-08,Sensitive Float Index,129.4,3.8,3.03,1110060000.0
2022-06-07,NEPSE Index,2020.23,-45.59,-2.21,1312806562.64
2022-06-07,Sensitive Index,389.12,-11.24,-2.81,1247800000.0
2022-06-07,Float Index,138.97,-3.18,-2.24,1265070000.0
2022-06-07,Sensitive Float Index,125.6,-3.72,-2.87,908858000.0
2022-06-06,NEPSE Index,2065.82,-12.89,-0.62,1273385276.82
2022-06-06,Sensitive Index,400.36,-3.12,-0.77,1269440000.0
2022-06-06,Float Index,142.15,-0.68,-0.48,1252690000.0
2022-06-06,Sensitive Float Index,129.32,-0.61,-0.47,924707000.0
2022-06-05,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-06-04,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-06-03,NEPSE Index,2078.71,-33.76,-1.6,1307359540.8
2022-06-03,Sensitive Index,403.48,-7.18,-1.75,1298090000.0
2022-06-03,Float Index,142.83,-2.13,-1.47,1287290000.0
2022-06-03,Sensitive Float Index,129.93,-1.88,-1.43,944430000.0
2022-06-02,NEPSE Index,2112.47,-18.26,-0.86,1161514168.66
2022-06-02,Sensitive Index,410.66,-3.81,-0.92,983178000.0
2022-06-02,Float Index,144.96,-1.22,-0.83,1112230000.0
2022-06-02,Sensitive Float Index,131.81,-1.19,-0.89,718978000.0
2022-06-01,NEPSE Index,2130.73,-7.19,-0.34,1078484181.94
2022-06-01,Sensitive Index,414.47,-1.16,-0.28,1082010000.0
2022-06-01,Float Index,146.18,-0.43,-0.3,1062680000.0
2022-06-01,Sensitive Float Index,133.0,-0.29,-0.22,780252000.0
2022-05-31,NEPSE Index,2137.92,-35.53,-1.63,1317699089.62
2022-05-31,Sensitive Index,415.63,-7.11,-1.68,1308620000.0
2022-05-31,Float Index,146.61,-2.4,-1.61,1301140000.0
2022-05-31,Sensitive Float Index,133.3,-2.1,-1.55,909698000.0
2022-05-30,NEPSE Index,2173.44,-50.33,-2.26,1338856282.36
2022-05-30,Sensitive Index,422.74,-10.33,-2.38,1342000000.0
2022-05-30,Float Index,149.02,-3.23,-2.12,1307500000.0
2022-05-30,Sensitive Float Index,135.4,-3.13,-2.26,918947000.0
2022-05-29,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-28,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-27,NEPSE Index,2223.78,-15.82,-0.71,1298905589.57
2022-05-27,Sensitive Index,433.07,-3.4,-0.78,1107300000.0
2022-05-27,Float Index,152.25,-1.1,-0.72,1111210000.0
2022-05-27,Sensitive Float Index,138.52,-1.11,-0.8,778638000.0
2022-05-26,NEPSE Index,2239.6,8.03,0.36,889834908.59
2022-05-26,Sensitive Index,436.47,1.39,0.32,850832000.0
2022-05-26,Float Index,153.35,0.71,0.46,884196000.0
2022-05-26,Sensitive Float Index,139.64,0.56,0.4,588208000.0
2022-05-25,NEPSE Index,2231.57,14.37,0.65,1044626939.45
2022-05-25,Sensitive Index,435.09,2.42,0.56,1053240000.0
2022-05-25,Float Index,152.64,1.07,0.7,1035320000.0
2022-05-25,Sensitive Float Index,139.08,0.83,0.6,589507000.0
2022-05-24,NEPSE Index,2217.19,16.32,0.74,1088833541.72
2022-05-24,Sensitive Index,432.67,3.62,0.84,1006930000.0
2022-05-24,Float Index,151.57,1.17,0.78,1025850000.0
2022-05-24,Sensitive Float Index,138.28,1.3,0.95,633458000.0
2022-05-23,NEPSE Index,2200.88,-34.21,-1.53,1369513191.5
2022-05-23,Sensitive Index,429.05,-5.69,-1.31,1287440000.0
2022-05-23,Float Index,150.41,-2.46,-1.61,1344170000.0
2022-05-23,Sensitive Float Index,136.98,-2.03,-1.46,915391000.0
2022-05-22,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-21,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-20,NEPSE Index,2235.09,-15.82,-0.7,932206084.33
2022-05-20,Sensitive Index,434.73,-2.47,-0.57,871024000.0
2022-05-20,Float Index,152.87,-0.92,-0.6,887669000.0
2022-05-20,Sensitive Float Index,139.01,-0.63,-0.45,579735000.0
2022-05-19,NEPSE Index,2250.91,-23.51,-1.03,1300981996.43
2022-05-19,Sensitive Index,437.21,-3.88,-0.88,1049460000.0
2022-05-19,Float Index,153.78,-1.71,-1.1,1116460000.0
2022-05-19,Sensitive Float Index,139.64,-1.67,-1.18,697505000.0
2022-05-18,NEPSE Index,2274.42,8.9,0.39,1326320346.01
2022-05-18,Sensitive Index,441.09,2.41,0.55,1259030000.0
2022-05-18,Float Index,155.49,0.61,0.39,1316980000.0
2022-05-18,Sensitive Float Index,141.31,0.86,0.61,789437000.0
2022-05-17,NEPSE Index,2265.52,-84.9,-3.61,1644096192.85
2022-05-17,Sensitive Index,439.69,-14.27,-3.14,1572380000.0
2022-05-17,Float Index,154.88,-5.81,-3.62,1638490000.0
2022-05-17,Sensitive Float Index,140.53,-4.7,-3.24,975379000.0
2022-05-16,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-15,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-14,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-13,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-12,NEPSE Index,2350.42,-18.64,-0.79,2328434272.92
2022-05-12,Sensitive Index,453.96,-2.7,-0.59,2130400000.0
2022-05-12,Float Index,160.69,-1.52,-0.94,2269750000.0
2022-05-12,Sensitive Float Index,145.24,-1.23,-0.84,1386320000.0
2022-05-11,NEPSE Index,2369.06,56.06,2.42,2163990743.33
2022-05-11,Sensitive Index,456.66,9.52,2.13,2072160000.0
2022-05-11,Float Index,162.21,3.98,2.51,2135790000.0
2022-05-11,Sensitive Float Index,146.47,3.45,2.41,1251500000.0
2022-05-10,NEPSE Index,2313.0,44.16,1.95,1356687468.49
2022-05-10,Sensitive Index,447.14,7.67,1.75,1271610000.0
2022-05-10,Float Index,158.23,3.26,2.1,1336310000.0
2022-05-10,Sensitive Float Index,143.02,2.93,2.09,839422000.0
2022-05-09,NEPSE Index,2268.85,12.27,0.54,1390607701.93
2022-05-09,Sensitive Index,439.47,3.12,0.71,1295630000.0
2022-05-09,Float Index,154.98,0.92,0.6,1386370000.0
2022-05-09,Sensitive Float Index,140.09,0.94,0.67,920940000.0
2022-05-08,NEPSE Index,2256.58,17.95,0.8,1326421671.7
2022-05-08,Sensitive Index,436.35,3.8,0.88,1189590000.0
2022-05-08,Float Index,154.06,1.18,0.77,1260290000.0
2022-05-08,Sensitive Float Index,139.15,1.37,0.99,870765000.0
2022-05-07,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-06,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-05,NEPSE Index,2238.62,-37.06,-1.63,1654561472.53
2022-05-05,Sensitive Index,432.55,-4.34,-0.99,1508720000.0
2022-05-05,Float Index,152.87,-2.69,-1.73,1602350000.0
2022-05-05,Sensitive Float Index,137.79,-1.87,-1.34,1113610000.0
2022-05-04,NEPSE Index,2275.69,-31.76,-1.38,1269219421.49
2022-05-04,Sensitive Index,436.89,-4.9,-1.11,1154300000.0
2022-05-04,Float Index,155.57,-2.17,-1.38,1211930000.0
2022-05-04,Sensitive Float Index,139.66,-1.82,-1.28,8067300000.0
2022-05-03,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-05-02,NEPSE Index,2307.44,-48.73,-2.07,1423498292.37
2022-05-02,Sensitive Index,441.79,-8.45,-1.88,1279240000.0
2022-05-02,Float Index,157.74,-3.13,-1.95,1410310000.0
2022-05-02,Sensitive Float Index,141.47,-2.61,-1.81,882864000.0
2022-05-01,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-30,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-29,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-28,NEPSE Index,2356.17,-20.0,-0.84,1496246808.2
2022-04-28,Sensitive Index,450.24,-4.32,-0.95,1363370000.0
2022-04-28,Float Index,160.87,-1.46,-0.9,1462960000.0
2022-04-28,Sensitive Float Index,144.09,-1.63,-1.12,912290000.0
2022-04-27,NEPSE Index,2376.17,5.17,0.22,1089992035.93
2022-04-27,Sensitive Index,454.56,1.61,0.36,1023900000.0
2022-04-27,Float Index,162.33,0.27,0.17,1079960000.0
2022-04-27,Sensitive Float Index,145.72,0.35,0.24,690198000.0
2022-04-26,NEPSE Index,2370.99,-15.02,-0.63,1046014417.2
2022-04-26,Sensitive Index,452.95,-1.74,-0.38,955898000.0
2022-04-26,Float Index,162.05,-0.75,-0.46,1031060000.0
2022-04-26,Sensitive Float Index,145.37,-0.03,-0.02,678666000.0
2022-04-25,NEPSE Index,2386.02,-34.95,-1.44,2042253182.3
2022-04-25,Sensitive Index,454.69,-6.19,-1.34,1839400000.0
2022-04-25,Float Index,162.8,-2.43,-1.47,2003050000.0
2022-04-25,Sensitive Float Index,145.4,-2.13,-1.44,1227260000.0
2022-04-24,NEPSE Index,2420.97,95.52,4.11,2531275592.84
2022-04-24,Sensitive Index,460.88,17.74,4.0,2025770000.0
2022-04-24,Float Index,165.23,6.58,4.15,2195890000.0
2022-04-24,Sensitive Float Index,147.53,5.93,4.19,1421440000.0
2022-04-23,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-22,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-21,NEPSE Index,2325.45,4.94,0.21,1629168847.89
2022-04-21,Sensitive Index,443.14,2.06,0.47,1436900000.0
2022-04-21,Float Index,158.65,0.03,0.02,1592270000.0
2022-04-21,Sensitive Float Index,141.59,0.12,0.08,1021550000.0
2022-04-20,NEPSE Index,2320.52,-36.73,-1.56,1458737755.45
2022-04-20,Sensitive Index,441.08,-6.69,-1.49,1223570000.0
2022-04-20,Float Index,158.61,-2.36,-1.47,1417060000.0
2022-04-20,Sensitive Float Index,141.47,-1.92,-1.34,917059000.0
2022-04-19,NEPSE Index,2357.25,13.37,0.57,1326865931.83
2022-04-19,Sensitive Index,447.77,3.61,0.81,1238590000.0
2022-04-19,Float Index,160.98,0.86,0.54,1282770000.0
2022-04-19,Sensitive Float Index,143.4,1.2,0.84,879663000.0
2022-04-18,NEPSE Index,2343.87,-41.78,-1.75,1530692955.67
2022-04-18,Sensitive Index,444.15,-6.82,-1.51,1444280000.0
2022-04-18,Float Index,160.11,-2.53,-1.55,1509120000.0
2022-04-18,Sensitive Float Index,142.2,-1.62,-1.12,999341000.0
2022-04-17,NEPSE Index,2385.65,-29.6,-1.23,1440723182.32
2022-04-17,Sensitive Index,450.97,-5.12,-1.12,1228670000.0
2022-04-17,Float Index,162.64,-1.99,-1.21,1370280000.0
2022-04-17,Sensitive Float Index,143.81,-1.79,-1.23,914467000.0
2022-04-16,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-15,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-14,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2022-04-13,NEPSE Index,2415.25,30.24,1.27,1476318104.44
2022-04-13,Sensitive Index,456.09,6.97,1.55,1302590000.0
2022-04-13,Float Index,164.63,2.04,1.25,1454100000.0
2022-04-13,Sensitive Float Index,145.61,2.13,1.49,947450000.0
2022-04-12,NEPSE Index,2385.01,-34.79,-1.44,1524364418.1
2022-04-12,Sensitive Index,449.12,-5.76,-1.27,1379730000.0
